question,category,primary_reference
"Explain the 'Balanced Field' concept for turbine aircraft.","Performance","CASR 121 MOS"
"What are the 'Holding' speeds for different altitudes?","AIP","AIP ENR 1.5"
"When is a 'Security Identification Card' (ASIC) required?","Security","Aviation Transport Security Act"
"What is 'P-Factor' and its impact on takeoff yaw?","Aerodynamics","CASA CADA Syllabus"
"Define 'Vy' vs 'Vx'.","Performance","CASA CPL Syllabus"
"What is the 'Critical Point' for a 4-engine aircraft?","Performance","CASA AFPA Syllabus"
"How do you handle a 'GPWS' alert in a transport aircraft?","Emergency","Part 121 SOPs"
"Define 'DA' vs 'MDA'.","AIP","AIP GEN 2.2"
"What is a 'MOCA' and how is it different from 'MEA'?","AIP","AIP GEN 2.2"
"What are the requirements for 'Simulated Instrument Flight'?","Part 91","CASR 91.315"
"Define 'Standard Terminal Arrival' (STAR).","AIP","AIP ENR 1.5"
"What is the '1-in-60' rule application for cross-track error?","Navigation","CASA CNAV Syllabus"
"Explain 'Vortex Generators' and their aerodynamic purpose.","Aerodynamics","CASA CADA Syllabus"
"What is 'Specific Range'?","Performance","CASA CFPA Syllabus"
"Define 'EPR' (Engine Pressure Ratio).","Systems","CASA CSYA Syllabus"
"What is the 'Visual Segment' of an IFR approach?","AIP","AIP ENR 1.5"
"When must you declare 'Minimum Fuel' to ATC?","AIP / Part 91 MOS","AIP / Part 91 MOS"
"What is 'RVSM' and its altitude requirements?","AIP","AIP ENR 1.1"
"Define 'Vat' speed.","Performance","AIP GEN 2.2"
"What are 'Krueger Flaps'?","Aerodynamics","CASA CADA Syllabus"
"What is the 'Standard Instrument Departure' (SID)?","AIP","AIP ENR 1.5"
"Explain 'Anhedral' wing design.","Aerodynamics","CASA CADA Syllabus"
"What is 'Aspect Ratio' and its impact on drag?","Aerodynamics","CASA CADA Syllabus"
"Define 'Service Ceiling' vs 'Absolute Ceiling'.","Performance","CASA CPL Syllabus"
"What is 'TAS' and how is it calculated?","Navigation","AIP"
"What is the 'Ground Effect'?","Aerodynamics","CASA CADA Syllabus"
"Define 'Chord Line'.","Aerodynamics","CASA CADA Syllabus"
"What is 'Angle of Attack'?","Aerodynamics","CASA CADA Syllabus"
"What is 'Induced Drag'?","Aerodynamics","CASA CADA Syllabus"
"Explain 'Para-Drag' (Parasite Drag).","Aerodynamics","CASA CADA Syllabus"
"What is the 'Coffin Corner'?","Aerodynamics","CASA ATPL Syllabus"
